资产,领先期(shift),回归系数beta,归一化权重
申万大盘市盈率,0,-0.11275642359613205,-0.6355813294508281
申万小盘市盈率,0,0.06465033517942677,0.3644186705491718
截距α,-,-1.102466263203566,
