,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2020-07-24,-0.870284,-0.864287,-0.959862,0.178548,-1.541727,0.561420,0.506468,0.444297,1.222199,5.034227,-0.282596,0.212986,-0.831014,2.170500,-0.618995,1.557931,-1.575828,1.400742,0.764043
2020-07-31,2.842212,4.118884,4.598058,5.127522,-0.446161,-0.442013,0.047596,2.249256,0.068736,2.920771,1.710921,0.059955,-1.308295,-0.555107,0.595642,-2.473410,-1.011028,0.547229,-0.449284
2020-08-07,0.442433,0.273956,1.646215,2.737737,-0.259454,-0.357818,0.079327,1.093879,2.130151,3.821082,2.420990,-0.786549,-3.178270,2.317351,0.446309,-0.225908,-0.053491,1.796262,0.126462
2020-08-14,0.756018,-0.070055,-0.981330,-2.146261,2.620670,0.174457,0.181097,-0.421585,0.692663,-6.765642,0.641574,-0.126656,2.796988,0.177503,-0.310068,-0.283745,-0.364538,2.588180,-1.288654
2020-08-21,-0.115225,0.301672,0.307232,0.143495,-0.275047,-0.172740,0.097178,0.110267,-1.638829,-0.195289,0.718165,-0.415633,1.653035,0.091822,0.229362,-1.688099,0.160989,-1.160974,-0.408402
2020-08-28,2.516559,2.623189,0.708896,0.145954,1.219825,-0.374850,-0.173030,-0.107576,3.579353,0.219079,3.210917,-0.370907,2.400487,1.739473,0.536980,-1.251916,-0.948178,3.047520,-1.180662
2020-09-04,-1.773965,-1.540332,-1.091448,-0.315246,-2.899836,-0.280826,-0.046124,0.260672,-7.809731,-0.922414,-2.337537,-0.631968,0.473043,0.170280,0.289930,-0.068769,0.378193,-7.749513,-1.903193
2020-09-11,-1.329752,-3.042235,-4.743289,-6.322715,-0.781072,0.229030,0.087822,-2.624037,-6.260415,0.431200,-2.541238,-0.182758,-0.704358,0.428630,-0.012834,0.368176,0.655741,-3.891430,-0.842951
2020-09-18,2.488487,2.345294,2.464668,2.746082,-0.195679,0.310312,0.137623,0.118403,8.985633,-0.340014,-0.645605,-1.017851,1.429682,0.480199,-0.016147,0.769933,-0.429509,7.661948,-0.401731
2020-09-25,-3.588375,-3.590479,-3.661237,-4.355961,-5.117362,0.070658,0.120118,-2.124899,-3.008973,-3.878331,-0.634944,0.935866,-2.952064,-1.610598,-0.015040,-0.534003,1.759953,-1.754870,0.696755
2020-10-02,0.081737,0.379431,-0.714197,-0.260045,0.957855,-0.182319,0.049590,0.970705,-8.213662,1.248839,1.503289,-0.562530,-0.607694,0.318569,0.178916,-0.423884,-0.785489,-6.316923,-0.264247
2020-10-16,2.799392,2.333836,1.106024,1.224059,1.103621,-0.002855,0.087993,1.580909,0.163724,-0.093788,0.191645,-0.966477,-0.605203,-3.132046,0.151029,0.111904,0.664030,0.355682,-1.144559
2020-10-23,-0.997841,-1.539184,-3.408334,-3.913469,2.158014,0.391966,0.185063,-0.451480,-2.221263,-0.346295,-0.530139,-0.602655,2.160702,-3.869143,-0.260915,1.017274,-0.976145,2.131440,-0.614952
2020-10-30,-1.998681,-0.491916,-1.651723,-1.979477,-3.310202,0.084816,0.083230,-0.275697,-10.072505,-1.618660,-5.804741,0.455316,-1.568626,2.105514,-0.102012,0.874484,1.359696,-6.969379,-1.060469
2020-11-06,2.371825,3.974701,3.057874,2.689653,6.447590,0.013734,0.131136,0.433674,4.470451,2.781406,7.067872,-1.633774,2.669093,1.640457,0.059133,0.094415,-1.943474,3.962428,-1.609852
2020-11-13,-0.621405,-0.592597,0.090766,-0.033959,1.711588,-0.155629,-0.219148,-0.354436,7.448698,-2.836823,2.134382,0.081723,0.326663,-0.673468,0.290629,0.708863,0.573004,4.947257,0.366839
2020-11-20,2.181401,1.764041,1.822759,1.184482,1.120289,-0.300093,-0.319086,-0.030048,5.721054,-1.191305,-0.773098,-0.427502,2.907842,0.664339,0.303994,2.260131,-0.399679,1.770473,-0.779337
2020-11-27,2.510105,0.755280,-1.117432,-1.854014,1.661416,0.117556,0.078095,0.645418,6.704148,-2.855416,2.246100,-0.120085,3.087944,-2.101228,-0.140769,1.785897,-0.651537,6.561617,-1.565040
2020-12-04,1.217654,1.695148,1.765338,1.566418,-0.218721,0.266218,0.191079,0.165448,1.398912,0.867299,1.656468,-0.504734,2.417003,-0.859300,-0.229705,0.731577,-1.194605,-0.315426,0.006141
2020-12-11,-3.262101,-3.541854,-4.029340,-3.751190,-1.237511,-0.030987,0.102647,-1.711032,1.942201,-0.437934,-0.968694,0.045855,-0.012591,3.837819,-0.012899,0.768350,0.308242,1.938584,1.007019
2020-12-18,2.310338,2.231508,1.319733,1.150059,-0.027428,0.158328,0.128542,0.159766,4.677499,2.782394,1.246477,-0.188124,2.218016,1.113706,-0.128033,0.801478,-1.060791,2.093623,-3.044160
2020-12-25,0.128539,0.837409,-0.213517,-0.184687,-0.423707,0.434026,0.172079,0.175998,-1.833143,0.360141,-0.171329,-0.047475,-1.303859,0.630694,-0.405635,1.554625,0.343782,-1.678273,-0.309752
2021-01-01,3.583517,3.302163,1.401568,1.290154,3.150601,0.266905,0.158171,1.185385,0.698625,-0.005063,1.421370,0.041350,-1.176062,2.124417,-0.328832,1.251000,-0.432684,0.582541,-1.384512
2021-01-08,3.976317,5.308979,2.947761,-0.923764,2.348493,0.146650,0.229947,1.546492,8.415485,0.273058,1.810157,-0.837894,3.729555,2.667648,-0.043090,-0.989883,0.177734,7.238459,-3.148231
2021-01-15,0.778732,-0.681976,-2.159528,-0.867762,2.464650,0.049266,0.127610,-0.042785,-2.447486,-2.081814,-1.486408,-0.063317,-1.171904,1.319127,0.003048,-0.251609,0.751884,-2.602509,0.024013
2021-01-22,0.742665,2.025757,3.375255,2.920215,3.012862,0.150462,-0.012708,0.913224,0.490687,0.770420,1.924440,-0.180914,0.649140,0.352159,-0.149958,0.856226,-0.596622,-0.017318,0.448156
