date,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA7,GPRD_MA30
2018-01-01,96.5763168334961,57.76742935180664,112.42872619628906,100.22586822509766,86.27232360839844
2018-01-02,188.69056701660156,94.05487823486328,278.9371032714844,113.18848419189453,91.40699768066406
2018-01-03,138.02365112304688,147.4272918701172,172.156494140625,116.39833068847656,93.86074829101562
2018-01-04,146.35792541503906,77.81729125976562,194.721923828125,118.95222473144531,94.29808807373047
2018-01-05,66.51741790771484,88.41690063476562,58.998741149902344,111.08869171142578,92.88129425048828
2018-01-06,78.94584655761719,50.36981964111328,94.53015899658203,108.9677963256836,93.3590087890625
2018-01-07,30.460391998291016,45.549949645996094,12.664384841918945,106.51029968261719,91.40464782714844
2018-01-08,82.1722183227539,92.15919494628906,68.32877349853516,104.45257568359375,92.29692840576172
2018-01-09,77.14198303222656,63.33314514160156,90.55902862548828,88.51705932617188,91.65704345703125
2018-01-10,71.72000122070312,44.68702697753906,82.00146484375,79.04511260986328,89.29119873046875
2018-01-11,95.51309204101562,60.59396743774414,108.30290222167969,71.78156280517578,89.21902465820312
2018-01-12,167.51290893554688,116.89810180664062,222.86756896972656,86.20948791503906,92.12744140625
2018-01-13,83.7867202758789,29.83172035217285,124.41300201416016,86.90104675292969,91.45088958740234
2018-01-14,63.24711990356445,0.0,105.18392181396484,91.5848617553711,90.52639770507812
2018-01-15,58.96156311035156,53.436431884765625,62.39976119995117,88.26905822753906,91.24761962890625
2018-01-16,58.74949645996094,45.05281448364258,60.12559509277344,85.64155578613281,91.42976379394531
2018-01-17,128.2569580078125,79.36273193359375,154.45814514160156,93.71826171875,93.45860290527344
2018-01-18,82.81419372558594,137.5988006591797,91.8167953491211,91.90413665771484,93.59785461425781
2018-01-19,102.11367797851562,105.87133026123047,88.30714416503906,82.56138610839844,93.89998626708984
2018-01-20,68.94937133789062,29.885713577270508,99.7105484008789,80.4417724609375,93.060546875
2018-01-21,71.32322692871094,79.00409698486328,52.7177734375,81.59549713134766,93.10519409179688
2018-01-22,129.9990234375,153.59866333007812,96.08734893798828,91.74370574951172,95.19933319091797
2018-01-23,129.00125122070312,110.23213958740234,153.24081420898438,101.77967071533203,96.51507568359375
2018-01-24,136.3526611328125,143.92901611328125,153.3985137939453,102.93620300292969,98.60641479492188
