资产,领先期(shift),领先/滞后说明,回归系数beta,归一化权重
恒生指数,3,滞后3期,-0.015739668937597363,-0.08095842563026655
CAD,0,同期,0.15004497782330437,0.7717700560579429
申万房地产,1,滞后1期,-0.028632040755722114,-0.14727151831179047
截距α,-,-,0.45356354565412,
